id,Ksink,a_rain,flowRouteTA,soilMaxDPS,ns
7,4.375,7.777777777777778,0.049600000000000005,0.2050612244897959,0.8383721966808352
6,1.875,6.111111111111111,0.0316,8.571571428571428,0.816754285681999
8,0.3125,9.444444444444445,0.06760000000000002,1.6334897959183672,0.8315287399047865
9,2.8125,5.185185185185185,0.08560000000000001,3.061918367346939,0.8236802384099734
10,1.5625,6.851851851851851,0.0172,4.49034693877551,0.901154655586697
11,4.0625,8.518518518518519,0.0352,5.918775510204082,0.8245964966420716
13,3.4375,7.407407407407407,0.07120000000000001,8.775632653061225,0.7807154590563002
12,0.9375,5.7407407407407405,0.05320000000000001,7.347204081632653,0.8039382518184034
14,2.1875,9.074074074074073,0.0892,0.4091224489795918,0.8152687205212615
15,4.6875,6.296296296296296,0.0208,1.837551020408163,0.9141380025172536
