id,Ksink,a_rain,flowRouteTA,soilMaxDPS,ns
2,4.495335034746625,7.667128294166541,0.010692517799648046,2.6242788098019543,0.9369862676374324
1,4.262985869958148,5.64754027032676,0.047816108686607565,7.77476067191142,0.7983319302472512
3,2.9800754478330873,5.1252151884091095,0.06411817001515446,3.9123281521362907,0.833684927850178
4,4.289233971825077,5.161433384214477,0.08144727570688297,3.9075885948653997,0.824527576787063
5,1.9265465983069585,8.250904177083815,0.027430496113124245,3.840831719558164,0.8685007544301728
6,3.7211181421295354,9.99211045596643,0.06354813598689917,2.7697350414523183,0.8244723448883021
7,0.49538074740435534,8.30793145525945,0.05936830207167862,7.842521800319553,0.7974391331710928
8,1.9964879900366161,7.571272017031396,0.020773406069620512,1.8189087082372328,0.9131245785554041
9,3.1226561789492635,5.365349414703803,0.05052877635250239,2.3126231809884086,0.846256794921522
10,0.5013200272814616,5.61234519779547,0.09904829863666753,1.4918930496409955,0.8013524302936746
